Date : 2023-01-24 18:11:40
Directory : c:\Users\adria\Documents\GitHub\grid-test\src
Total : 133 files,  5320 codes, 520 comments, 832 blanks, all 6672 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\interceptor\auth.interceptor.ts                           | TypeScript |         26 |          0 |          8 |         34 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\login\login\login.component.css                           | CSS        |        138 |         33 |         30 |        201 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\login\login\login.component.html                          | HTML       |         37 |          0 |          3 |         40 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\login\login\login.component.ts                            | TypeScript |         38 |          0 |          9 |         47 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\models\alert.model.ts                                     | TypeScript |         10 |          0 |          2 |         12 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\models\container.model.ts                                 | TypeScript |         26 |          0 |          4 |         30 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\models\containers.model.ts                                | TypeScript |          4 |          0 |          1 |          5 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\models\dashboard.models.ts                                | TypeScript |         26 |          0 |          2 |         28 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\models\events.model.ts                                    | TypeScript |          8 |          0 |          1 |          9 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\models\log.model.ts                                       | TypeScript |          5 |          0 |          0 |          5 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\models\message.model.ts                                   | TypeScript |         20 |          0 |          0 |         20 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\models\metrics.model.ts                                   | TypeScript |         20 |          0 |          0 |         20 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\models\singlecontainer.model.ts                           | TypeScript |         40 |          0 |          6 |         46 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\models\socketlog.model.ts                                 | TypeScript |          0 |          8 |          0 |          8 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\models\socketmessage.model.ts                             | TypeScript |          5 |          0 |          0 |          5 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\navbar\navbar.component.css                               | CSS        |         89 |          0 |         15 |        104 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\navbar\navbar.component.html                              | HTML       |         38 |          3 |          1 |         42 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\navbar\navbar.component.ts                                | TypeScript |         82 |          4 |         13 |         99 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\services\Untitled-1.json                                  | JSON       |         64 |          0 |          2 |         66 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\services\alert.service.spec.ts                            | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\services\alert.service.ts                                 | TypeScript |         31 |          0 |          4 |         35 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\services\auth.service.spec.ts                             | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\services\auth.service.ts                                  | TypeScript |         47 |          1 |         11 |         59 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\services\containerservice.service.spec.ts                 | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\services\containerservice.service.ts                      | TypeScript |        116 |          0 |         15 |        131 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\services\containerstate.enum.ts                           | TypeScript |          8 |          0 |          0 |          8 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\services\httpservice.service.ts                           | TypeScript |         42 |          0 |         12 |         54 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\services\loading.service.spec.ts                          | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\services\loading.service.ts                               | TypeScript |         18 |          0 |          5 |         23 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\services\log.service.ts                                   | TypeScript |         24 |          1 |          5 |         30 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\services\navtitle.service.spec.ts                         | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\services\navtitle.service.ts                              | TypeScript |         27 |          0 |          7 |         34 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\services\socket.service.spec.ts                           | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\services\socket.service.ts                                | TypeScript |         78 |          8 |         11 |         97 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\services\theme.service.spec.ts                            | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\services\theme.service.ts                                 | TypeScript |          7 |          0 |          3 |         10 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\services\themeservice.service.spec.ts                     | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\services\themeservice.service.ts                          | TypeScript |          8 |          0 |          5 |         13 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\sidebar\sidebar-new\sidebar-new.component.css             | CSS        |         72 |         36 |         18 |        126 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\sidebar\sidebar-new\sidebar-new.component.html            | HTML       |         23 |          0 |          1 |         24 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\sidebar\sidebar-new\sidebar-new.component.ts              | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\sidebar\sidebar.component.css                             | CSS        |         50 |         16 |         14 |         80 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\sidebar\sidebar.component.html                            | HTML       |         76 |          0 |          1 |         77 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\sidebar\sidebar.component.ts                              | TypeScript |         12 |          0 |          8 |         20 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\title\title.component.css                                 | CSS        |         31 |          0 |          6 |         37 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\title\title.component.html                                | HTML       |          4 |          0 |          1 |          5 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\title\title.component.ts                                  | TypeScript |         20 |          0 |          6 |         26 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\util\loader\loader.component.css                          | CSS        |         56 |          0 |          1 |         57 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\util\loader\loader.component.html                         | HTML       |          6 |          0 |          1 |          7 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\util\loader\loader.component.ts                           | TypeScript |         11 |          0 |          5 |         16 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\dashboard\bigwidget\bigwidget.component.css       | CSS        |        154 |          2 |         38 |        194 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\dashboard\bigwidget\bigwidget.component.html      | HTML       |         76 |          2 |          0 |         78 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\dashboard\bigwidget\bigwidget.component.ts        | TypeScript |         18 |          0 |          5 |         23 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\dashboard\widget\widget.component.css             | CSS        |        128 |        116 |         26 |        270 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\dashboard\widget\widget.component.html            | HTML       |        108 |          0 |          1 |        109 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\dashboard\widget\widget.component.ts              | TypeScript |         16 |          0 |          6 |         22 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\expandwidget\expandwidget.component.css           | CSS        |         96 |          0 |         18 |        114 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\expandwidget\expandwidget.component.html          | HTML       |         76 |          0 |          2 |         78 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\expandwidget\expandwidget.component.ts            | TypeScript |         16 |          0 |          5 |         21 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\newwidget\newwidget.component.css                 | CSS        |        128 |          4 |         25 |        157 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\newwidget\newwidget.component.html                | HTML       |        209 |          1 |          1 |        211 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\newwidget\newwidget.component.ts                  | TypeScript |         24 |          0 |          7 |         31 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\smallwidget\smallwidget.component.css             | CSS        |         82 |          0 |         17 |         99 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\smallwidget\smallwidget.component.html            | HTML       |        176 |          0 |          1 |        177 |
| c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\smallwidget\smallwidget.component.ts              | TypeScript |         18 |          7 |          7 |         32 |
| c:\Users\adria\Documents\GitHub\grid-test\src\assets\alerticon.svg                                          | XML        |          3 |          3 |          1 |          7 |
| c:\Users\adria\Documents\GitHub\grid-test\src\assets\chart.svg                                              | XML        |          1 |          0 |          1 |          2 |
| c:\Users\adria\Documents\GitHub\grid-test\src\assets\check.svg                                              | XML        |          3 |          0 |          1 |          4 |
| c:\Users\adria\Documents\GitHub\grid-test\src\assets\colors\red.svg                                         | XML        |          3 |          0 |          1 |          4 |
| c:\Users\adria\Documents\GitHub\grid-test\src\assets\containericon.svg                                      | XML        |          3 |          3 |          1 |          7 |
| c:\Users\adria\Documents\GitHub\grid-test\src\assets\copy.svg                                               | XML        |          1 |          0 |          0 |          1 |
| c:\Users\adria\Documents\GitHub\grid-test\src\assets\forbidden.svg                                          | XML        |          3 |          0 |          1 |          4 |
| c:\Users\adria\Documents\GitHub\grid-test\src\assets\gear.svg                                               | XML        |          4 |          0 |          0 |          4 |
| c:\Users\adria\Documents\GitHub\grid-test\src\assets\home.svg                                               | XML        |          3 |          0 |          1 |          4 |
| c:\Users\adria\Documents\GitHub\grid-test\src\assets\homeicon.svg                                           | XML        |          3 |          3 |          2 |          8 |
| c:\Users\adria\Documents\GitHub\grid-test\src\assets\logo.svg                                               | XML        |         20 |          0 |          0 |         20 |
| c:\Users\adria\Documents\GitHub\grid-test\src\assets\logout.svg                                             | XML        |          3 |          0 |          1 |          4 |
| c:\Users\adria\Documents\GitHub\grid-test\src\assets\restarting.svg                                         | XML        |          3 |          0 |          1 |          4 |
| c:\Users\adria\Documents\GitHub\grid-test\src\assets\server-solid.svg                                       | XML        |          1 |          0 |          0 |          1 |
| c:\Users\adria\Documents\GitHub\grid-test\src\assets\testlog.json                                           | JSON       |         27 |          0 |          1 |         28 |
| c:\Users\adria\Documents\GitHub\grid-test\src\assets\themes.json                                            | JSON       |         14 |          0 |          0 |         14 |
| c:\Users\adria\Documents\GitHub\grid-test\src\assets\triangle.svg                                           | XML        |          1 |          0 |          0 |          1 |
| c:\Users\adria\Documents\GitHub\grid-test\src\assets\warning.svg                                            | XML        |          3 |          0 |          1 |          4 |
| c:\Users\adria\Documents\GitHub\grid-test\src\environments\environment.dev.ts                               | TypeScript |          4 |          0 |          0 |          4 |
| c:\Users\adria\Documents\GitHub\grid-test\src\environments\environment.prod.ts                              | TypeScript |          4 |          0 |          1 |          5 |
| c:\Users\adria\Documents\GitHub\grid-test\src\environments\environment.ts                                   | TypeScript |          4 |         11 |          3 |         18 |
| c:\Users\adria\Documents\GitHub\grid-test\src\index.html                                                    | HTML       |         25 |          0 |          2 |         27 |
| c:\Users\adria\Documents\GitHub\grid-test\src\main.ts                                                       | TypeScript |          9 |          0 |          4 |         13 |
| c:\Users\adria\Documents\GitHub\grid-test\src\metrics.py                                                    | Python     |         10 |          3 |          2 |         15 |
| c:\Users\adria\Documents\GitHub\grid-test\src\polyfills.ts                                                  | TypeScript |          1 |         47 |          6 |         54 |
| c:\Users\adria\Documents\GitHub\grid-test\src\styles.css                                                    | CSS        |         23 |          7 |          4 |         34 |
| c:\Users\adria\Documents\GitHub\grid-test\src\test.ts                                                       | TypeScript |         18 |          4 |          5 |         27 |
| Total                                                                                                       |            |      5,320 |        520 |        832 |      6,672 |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
